	Analysis of efficacy
6004	Percentage of babies not given neonatal screening during screening periods two, three, and four by annual birth rate, hospital, and cause
6005	Numbers of babies by severity of PCHI in periods with and without neonatal screening by risk status, source of referral, and age distribution at stages of management
6006	Comparison of periods with and without neonatal screening by increment in yield and relative risk of yield of PCHI
6007	Contraindications to warfarin therapy among patients with AF
6008	Risk factors for stroke among patients with AF
6009	Proportion of patients with AF eligible for anticoagulation and those anticoagulated by risk classification
6010	Proportions of patients with AF with irreversible contraindications, and with reversible contraindications and clinical and echocardiographic risk factors
6011	Symptoms of people examined
6012	Experimental neuropsychological measures at time 1
6013	Change scores on experimental neuropsychological measures
6014	Experimental neuropsychological measures at time 2
6015	Risk factor exposures for C psittaciamong cases and controls
6016	Number of study participants who mowed lawns by sex
6017	Serological results for cases
6018	Details of probands with their affected offspring
6019	Recurrence data by defect category
6020	Risks to siblings and offspring
6021	Risk for ovarian cancer by use of over-the-counter or prescription analgesics
6022	Risk for ovarian cancer by features of used paracetamol
6023	Odds ratio for paracetamol use and various histological types and grades of ovarian cancer
6024	Univariate logistic regression analysis
6025	Accuracy of BNP  (cut-off 17·9 pg/mL)  in detection of left-ventricular systolic dysfunction
6026	Results of multivariate logistic regression analysis
6027	Diagnostic value of natriuretic peptides in detecting heart failure when negative predictive value is 98%
6028	Prediction of presence of heart failure in logistic regression analyses of 106 referred patients for whom concentrations of all three natriuretic peptides were available
6029	Prediction of presence of heart failure in logistic regression analyses of 96 referred patients for whom cardiothoracic ratio  (CTR)  and BNP concentration were available
6030	Presence of ICA and GADA at different ages of diagnosis
6031	Association of ICA with different concentrations of GADA by age-group
6032	Sensitivity, specificity, and positive predictive value of ICA and GADA measurements for insulin requirement by 6 years
6033	Stepwise logistic regression analysis of contribution of clinical variables, ICA and GADA in prediction of insulin requirement
6034	Pacemaker complications necessitating reoperation
6035	Causes of death
6036	Multivariate Cox proportional hazard regression analysis of clinical variables evaluated as risk factors for evelopment of death, thromboembolic events, and chronic atrial fibrillation during follow-up
6037	Association between thromboembolism, brady-tachy syndrome at randomisation, and atrial fibrillation during follow-up
6038	Fractures that occurred during treatment period
6039	Selection of children with early BCG vaccination and controls
6040	Signs of atopy according to clinical examination, SPT, and serological tests in children with early BCG vaccination and controls
6041	Clinical and histological features of four women with unclassified coeliac disease
6042	Serological pattern of four women with unclassified coeliac disease
6043	Clinical characterisrics of 171 consecutive CHF patients
6044	Univariate analysis—predictors of 18-month mortality in 171 patients with CHF  (Cox proportional hazard)
6045	Multivariate analysis—predictors of 18-month mortality in 171 patients with CHF  (Cox proportional hazard)
6046	Tissue-factor antigen concentrations and activity
6047	Primary and secondary events according to assigned therapy number  (event rate per patient year)
6048	Association between genotypes of proteases on chromosome 14 and atopic diseases
6049	Clinical details of participants
6050	Core Laboratory Quantitative Coronary Angiography Data
6051	Odds Ratios for In-Stent Restenosis at Follow-Up Angiography
6052	Availability of individual and classes of medications among all primary health-care sites
6053	Distribution of the annual number of safe, less-safe, and least-safe abortions by UN DESA, Population Division region for the period 2010–14
6054	Distribution of abortion safety categories for countries grouped by legal status and income level
6055	Outcome of treatment of incomplete abortion by provider
6056	Reported secondary outcomes
6057	Ambulatory, home, and office blood pressure measurements at randomisation and after 6 months follow-up in the renal denervation and control group  (modified intention-to-treat population)
6058	Efficacy of CYD-TDV vaccination against symptomatic, virologically-confirmed dengue due to any serotype
6059	Serotype-specific vaccine efficacy against symptomatic, virologically-confirmed dengue  (VCD) , irrespective of protocol deviations
6060	Correlation coefficient  (r)  between pretransplantation parameters and DLCO before or after transplantation
6061	Effect of cardiac function and sex on lung and skin disease in patients with systemic sclerosis
6062	Echocardiogram, right heart cardiac catheter parameters before and after fluid challenge, and cardiac MRI in 12 consecutive patients with systemic sclerosis referred for HSCT
6063	Quality of life by SF-36 before and after HSCT
6064	Serotype-specific and overall efficacy of CYD tetravalent dengue vaccine against virologically confirmed dengue disease
6065	Summary of all reported SAEs and of AEs reported in the reactogenicity subset after at least one injection
6066	Summary of dengue episodes classified as severe according to independent data monitoring committee or WHO 1997 classifications  20
6067	Skin and pulmonary function results
6068	Quality of life
6069	Main histological features of chronic pancreatitis subtypes  (at diagnosis in stable disease)
6070	Absolute blood pressure at each visit and adjusted differences between the reductions on each initial treatment regimen
6071	Number of responders in each treatment regimen and their comparison with combination therapy
6072	Adverse events and laboratory abnormalities
6073	Primary and secondary outcomes
6074	Hazard ratios  (top vs bottom quintile)  for risk of subsequent stroke  (ie, after the measurement period)  in the UK-TIA trial from a model combining mean SBP and visit-to-visit variability in SBP  (SD or CV or VIM) , repeated with increasingly precise estimates of both variables
6075	Blood-pressure parameters and their predictive values  (HRs and 95% CI for risk of stroke in the top vs bottom decile of each measure)  in the four independent cohorts of patients with TIA and minor stroke
6076	Rates of virological failure, mortality, and admission by group
6077	Diagnoses at first admission after start of antiretroviral therapy
6078	Frequency of outpatient attendance overall and in which a physician was seen and a new clinical disorder diagnosed
6079	Distribution of drug substitutions to first-line regimens according to initial regimen
6080	Costs of health-service delivery and costs incurred by patients to access care  (in US$)
6081	Kaplan-Meier estimates of the time from meeting the criteria for switch based on viral load >500 copies per mL to meeting the criteria for the other monitoring strategies
6082	Predicted outcomes of monitoring strategies at 5, 10, and 20 years from start of antiretroviral treatment
6083	Life years, discounted costs over 20 years, and incremental increases for each strategy
6084	Univariate comparison of S pneumoniae infections that were susceptible or not susceptible to levofloxacin isolated from children aged under 15 years in South Africa between 2000 and 2006  (nationwide surveillance)
